dataset,model,threshold,precision,recall,dice,tp,fp,fn
Thebe,U-Net,0.6375,0.08404177417391327,0.24871212330910958,0.12563163502855795,12264777,133671897,37048368
Thebe,U-Net,0.6275,0.0831003100925473,0.26354321956143745,0.12635760598332563,12996145,143394908,36317000
Thebe,U-Net,0.6175,0.08216841380258963,0.2784249311213065,0.126889390918523,13730009,153365939,35583136
Thebe,U-Net,0.6075,0.08126341509832616,0.2933978556833072,0.1272750273099228,14468371,163574491,34844774
Thebe,U-Net,0.5975,0.08037008373033072,0.30838748978593844,0.12750943036969617,15207557,174011569,34105588
Thebe,U-Net,0.5875,0.07950109742525797,0.32338555977315986,0.1276264995829131,15947159,184643267,33365986
Thebe,U-Net,0.5775,0.07864590255364451,0.3383739568830988,0.12762809558116964,16686284,195483498,32626861
Thebe,U-Net,0.5675,0.07781111695588284,0.3533603869718713,0.127537957159856,17425312,206518421,31887833
Thebe,U-Net,0.5575,0.07699263330271859,0.36831672366465373,0.1273616823930748,18162856,217740960,31150289
Thebe,U-Net,0.5475,0.07618653537047734,0.38322714967783944,0.12710439302994334,18898136,229152729,30415009
Thebe,U-Net,0.5375,0.07539320367114655,0.3980857233907916,0.1267763201560669,19630859,240748831,29682286
Thebe,U-Net,0.5275,0.07460603699407141,0.4128510359661709,0.12637494200374458,20358983,252527553,28954162
Thebe,U-Net,0.5175,0.07383202316104634,0.42753563983801884,0.12591885593049199,21083127,264472193,28230018
Thebe,U-Net,0.5075,0.0730701257758991,0.44215494671856764,0.12541438409718958,21804051,276594929,27509094
Thebe,U-Net,0.4975,0.07231810993976882,0.45668569708948803,0.12486354922663535,22520608,288889743,26792537
Thebe,U-Net,0.4875,0.07158201996400432,0.4711760525515053,0.12428275251249742,23235173,301359928,26077972
Thebe,U-Net,0.4775,0.07084941118006712,0.4855414717515989,0.12365525184685279,23943577,314006684,25369568
Thebe,U-Net,0.4675,0.07012121213828246,0.49979967815883575,0.12298745266400082,24646694,326840299,24666451
Thebe,U-Net,0.4575,0.06940893513452816,0.5140383765829577,0.12230361035301476,25348849,339861321,23964296
Thebe,U-Net,0.4475,0.06870051487661578,0.5281835096909759,0.12158636375431726,26046390,353083083,23266755
Thebe,U-Net,0.4375,0.06799982215773445,0.5422641366718752,0.12084562531571813,26740750,366506602,22572395
Thebe,U-Net,0.4275,0.06730212933220542,0.5562657380704475,0.12007632401788729,27431213,380151924,21881932
Thebe,U-Net,0.4175,0.06661316518546904,0.5702219965893476,0.11929081285441123,28119440,394010929,21193705
Thebe,U-Net,0.4075,0.0659249229502351,0.5840773489502646,0.11847729120681608,28802691,408098707,20510454
Thebe,U-Net,0.3975,0.06524125649451966,0.5978835663391576,0.117645045886556,29483519,422431735,19829626
Thebe,U-Net,0.3875,0.06456261925765988,0.6116319492500427,0.1167964444091835,30161495,437005038,19151650
Thebe,U-Net,0.3775,0.06389064954691712,0.6253278917822013,0.11593595583984966,30836885,451814101,18476260
Thebe,U-Net,0.3675,0.0632226577956723,0.6389392524042018,0.11506017948331822,31508104,466859176,17805041
Thebe,U-Net,0.3575,0.06255960042098122,0.6524682009228979,0.11417220382316927,32175259,482138432,17137886
Thebe,U-Net,0.3475,0.061902948628332455,0.6659183672020919,0.11327590874015715,32838529,497645555,16474616
Thebe,U-Net,0.3375,0.06125243338497652,0.6792581775102764,0.11237169503580298,33496357,513361215,15816788
Thebe,U-Net,0.3275,0.06061118525894857,0.6925116822299612,0.1114664171746037,34149929,529276258,15163216
Thebe,U-Net,0.3175,0.05997242478929875,0.7055620565267131,0.11054829900408879,34793484,545364549,14519661
Thebe,U-Net,0.3075,0.05934262390879714,0.7184556572086408,0.10963007992156434,35429308,561600376,13883837
Thebe,U-Net,0.2975,0.058717703168760196,0.7311697925573394,0.10870563485976004,36056282,578005237,13256863
Thebe,U-Net,0.2875,0.058099955811449194,0.7436933499171469,0.1077797743102654,36673858,594546209,12639287
Thebe,U-Net,0.2775,0.05748248303447462,0.7559660816603767,0.10684094692571508,37279065,611250070,12034080
Thebe,U-Net,0.2675,0.05687003628524583,0.7680434699510648,0.1058987631419643,37874639,628111203,11438506
Thebe,U-Net,0.2575,0.05625488409803354,0.7798408923219153,0.10493979338185706,38456407,645153694,10856738
Thebe,U-Net,0.2475,0.05565276846292731,0.791356543980312,0.10399220378515023,39024280,662185760,10288865
Thebe,U-Net,0.2375,0.0550680127503964,0.8025780752779,0.10306437655233337,39577649,679127222,9735496
Thebe,U-Net,0.2275,0.054501959281221514,0.8134883305455372,0.10215945589896139,40115668,695925174,9197477
Thebe,U-Net,0.2175,0.0539634209878877,0.824128089984932,0.10129416014631597,40640348,712468837,8672797
Thebe,U-Net,0.2075,0.05344871452665327,0.8344359500899811,0.10046243766670532,41148661,728723194,8164484
Thebe,U-Net,0.1975,0.052958764075752625,0.8444561992547829,0.09966706252070603,41642791,744682036,7670354
Thebe,U-Net,0.1875,0.05249210222805496,0.8542360257087639,0.0989064823442123,42125065,760377849,7188080
Thebe,U-Net,0.1775,0.05204252905409298,0.8637934368209531,0.09817040760031183,42596371,775895193,6716774
Thebe,U-Net,0.1675,0.051603630063018435,0.8731343944905562,0.09744793247869282,43057003,791322341,6256142
Thebe,U-Net,0.1575,0.051168477155834426,0.8822734181727813,0.0967271502787667,43507677,806775142,5805468
Thebe,U-Net,0.1475,0.05073426929652722,0.8913034039909643,0.096003861003102,43952974,822384013,5360171
Thebe,U-Net,0.1375,0.05029225822569982,0.9001929201635791,0.09526236878419095,44391344,838276199,4921801
Thebe,U-Net,0.1275,0.04983638010168434,0.9089709244867672,0.09449202207224729,44824215,854603370,4488930
Thebe,U-Net,0.1175,0.04935801048633088,0.9176491785303899,0.09367735481414859,45252167,871562886,4060978
Thebe,U-Net,0.1075,0.04884952634413588,0.9262797779375053,0.09280477617833885,45677769,889393099,3635376
Thebe,U-Net,0.0975,0.0482990358590411,0.934855422423372,0.09185253688322345,46100661,908383423,3212484
Thebe,U-Net,0.0875,0.04769225940879216,0.9433938354570571,0.09079450061573799,46521717,928934627,2791428
Thebe,U-Net,0.0775,0.047006823317493035,0.9518799703405654,0.08958943870185282,46940195,951642387,2372950
Thebe,U-Net,0.0675,0.04621412175565124,0.960365334638462,0.08818467379392105,47358635,977406809,1954510
Thebe,U-Net,0.0575,0.045254378483307704,0.9688498066793347,0.08646980554155642,47777031,1007966802,1536114
Thebe,U-Net,0.0475,0.04408672376908065,0.9765827752417737,0.08436489008724338,48158368,1044196969,1154777
Thebe,U-Net,0.0375,0.043206158579134096,0.9812088237324956,0.08276775480531853,48386493,1071511563,926652
Thebe,U-Net,0.0275,0.04237170752519025,0.984755849581283,0.08124752676235134,48561408,1097519570,751737
