model,inline_local_index,valid_voxels,truth_voxels,predicted_voxels,tp,fp,fn,precision,recall,dice,iou,tolerant_precision_3px,tolerant_recall_3px,tolerant_dice_3px
dip_steered_coherence,50,1430,170,110,38,72,132,0.34545454545454546,0.2235294117647059,0.2714285714285714,0.15702479338842976,0.9181818181818182,0.4823529411764706,0.6324551355479191
dip_steered_coherence,51,5379,815,302,93,209,722,0.3079470198675497,0.11411042944785275,0.1665174574753805,0.0908203125,0.6225165562913907,0.23190184049079754,0.33792047475487164
dip_steered_coherence,52,3223,397,154,48,106,349,0.3116883116883117,0.12090680100755667,0.17422867513611615,0.09542743538767395,0.7857142857142857,0.16624685138539042,0.2744282744282744
dip_steered_coherence,53,9007,1272,305,96,209,1176,0.31475409836065577,0.07547169811320754,0.12175015852885225,0.06482106684672519,0.760655737704918,0.14386792452830188,0.24197036923050616
dip_steered_coherence,54,4261,579,224,70,154,509,0.3125,0.12089810017271158,0.17434620174346202,0.09549795361527967,0.7946428571428571,0.19516407599309155,0.31336563478586005
dip_steered_coherence,55,8288,1229,547,190,357,1039,0.3473491773308958,0.15459723352318958,0.21396396396396397,0.11979823455233292,0.8446069469835467,0.31570382424735555,0.45961073491668314
dip_steered_coherence,56,11142,1587,3466,678,2788,909,0.1956145412579342,0.42722117202268434,0.2683554324163863,0.15497142857142857,0.5937680323139065,0.6402016383112792,0.6161111996725747
dip_steered_coherence,57,11748,1807,326,101,225,1706,0.3098159509202454,0.055893746541228556,0.0947022972339428,0.04970472440944882,0.7638036809815951,0.1322634200332042,0.22548152245778688
dip_steered_coherence,58,6492,835,241,50,191,785,0.2074688796680498,0.059880239520958084,0.09293680297397769,0.04873294346978557,0.5103734439834025,0.13892215568862276,0.21839722641032902
dip_steered_coherence,59,13076,1947,447,119,328,1828,0.2662192393736018,0.06111967128916281,0.09941520467836257,0.052307692307692305,0.7002237136465325,0.21777092963533642,0.3322206075808041
dip_steered_coherence,60,7946,985,333,62,271,923,0.18618618618618618,0.06294416243654823,0.09408194233687406,0.04936305732484077,0.5915915915915916,0.1532994923857868,0.24350054025735898
dip_steered_coherence,61,13200,1937,472,178,294,1759,0.3771186440677966,0.09189468249870934,0.1477791614777916,0.07978484984311968,0.8029661016949152,0.21476510067114093,0.33888927698218657
dip_steered_coherence,62,7044,928,321,80,241,848,0.24922118380062305,0.08620689655172414,0.12810248198558846,0.06843455945252352,0.7663551401869159,0.24676724137931033,0.3733237904949353
dip_steered_coherence,63,11917,1789,479,153,326,1636,0.31941544885177453,0.08552263834544438,0.1349206349206349,0.07234042553191489,0.7745302713987474,0.2515371716042482,0.37974726733229536
dip_steered_coherence,64,15841,2207,4525,918,3607,1289,0.20287292817679559,0.41594925237879476,0.2727272727272727,0.15789473684210525,0.6083977900552486,0.6502038966923426,0.6286065210275938
dip_steered_coherence,65,11138,1557,492,156,336,1401,0.3170731707317073,0.1001926782273603,0.15226939970717424,0.08240887480190175,0.6971544715447154,0.23185613359023763,0.3479821207509734
dip_steered_coherence,66,6149,796,222,109,113,687,0.49099099099099097,0.13693467336683418,0.21414538310412573,0.11991199119911991,0.9144144144144144,0.27261306532663315,0.42000934392311284
dip_steered_coherence,67,11082,1645,288,117,171,1528,0.40625,0.07112462006079028,0.12105535437144335,0.0644273127753304,0.8715277777777778,0.20425531914893616,0.33094809707591094
dip_steered_coherence,68,7886,1242,448,187,261,1055,0.4174107142857143,0.15056360708534622,0.22130177514792898,0.12441783100465735,0.8482142857142857,0.33011272141706927,0.4752608138612654
dip_steered_coherence,69,10325,1731,446,231,215,1500,0.5179372197309418,0.13344887348353554,0.21221864951768488,0.11870503597122302,0.8071748878923767,0.31311380704794917,0.4512008435735328
dip_steered_coherence,70,5811,1024,436,179,257,845,0.4105504587155963,0.1748046875,0.2452054794520548,0.13973458235753317,0.713302752293578,0.359375,0.47795002004543635
dip_steered_coherence,71,8946,1556,386,131,255,1425,0.3393782383419689,0.08419023136246787,0.1349124613800206,0.07233572611816676,0.6787564766839378,0.2217223650385604,0.3342565851024883
dip_steered_coherence,72,15013,2575,4196,755,3441,1820,0.17993326978074356,0.29320388349514565,0.2230098951410427,0.12549867021276595,0.597950428979981,0.5083495145631068,0.5495215146287965
dip_steered_coherence,73,8447,1524,352,110,242,1414,0.3125,0.07217847769028872,0.11727078891257996,0.0622876557191393,0.7301136363636364,0.20931758530183728,0.3253577693290684
dip_steered_coherence,74,4877,998,298,120,178,878,0.40268456375838924,0.12024048096192384,0.18518518518518517,0.10204081632653061,0.785234899328859,0.22845691382765532,0.35393862197985915
dip_steered_coherence,75,7258,1360,399,149,250,1211,0.37343358395989973,0.10955882352941176,0.1694144400227402,0.09254658385093167,0.7543859649122807,0.2595588235294118,0.386229182834824
dip_steered_coherence,76,8057,1609,530,154,376,1455,0.29056603773584905,0.09571162212554382,0.1439925198690977,0.07758186397984887,0.6811320754716981,0.2858918582970789,0.40274104497792396
dip_steered_coherence,77,6660,1293,446,110,336,1183,0.24663677130044842,0.08507347254447023,0.12650948821161587,0.06752608962553713,0.7174887892376681,0.19412219644238204,0.3055700334407444
dip_steered_coherence,78,4717,857,186,45,141,812,0.24193548387096775,0.052508751458576426,0.0862895493767977,0.045090180360721446,0.7688172043010753,0.15869311551925322,0.2630827815241432
